count_fp,created_time,no_price_dollars,taker_book_side,taker_outcome_side,taker_side,ticker,trade_id,yes_price_dollars,title
500.00,2026-04-13T20:26:45.869614Z,0.9000,bid,yes,yes,KXPGATOP10-RBH26-SSCH,765b1629-04fd-55ce-6451-1ea32eb4cce8,0.1000,RBC Heritage: Will Scottie Scheffler finish top 10?
500.00,2026-04-13T20:26:45.90775Z,0.8500,bid,yes,yes,KXPGATOP10-RBH26-CAME,6624c50d-7b66-4917-c8c7-c96d91a00879,0.1500,RBC Heritage: Will Cameron Young finish top 10?
61.00,2026-04-13T20:34:23.415826Z,0.7700,bid,yes,yes,KXPGATOP10-RBH26-JSPI,3b244534-8b03-6404-58c0-b1bcc40f09f1,0.2300,RBC Heritage: Will Jordan Spieth finish top 10?
49.00,2026-04-13T20:40:13.704622Z,0.8100,bid,yes,yes,KXPGATOP10-RBH26-BHAR,23bbc6ce-dbb2-4903-f71a-51ed9f3af263,0.1900,RBC Heritage: Will Brian Harman finish top 10?
40.00,2026-04-13T20:56:05.914885Z,0.7700,bid,yes,yes,KXPGATOP10-RBH26-JSPI,bc76e212-4fa7-5ff8-8eac-09d57a314145,0.2300,RBC Heritage: Will Jordan Spieth finish top 10?
40.00,2026-04-13T20:57:04.647894Z,0.9500,ask,no,no,KXPGATOP10-RBH26-JSPI,57e1b5b0-6815-6e84-053c-fea800e39f01,0.0500,RBC Heritage: Will Jordan Spieth finish top 10?
31.00,2026-04-13T21:13:41.246232Z,0.3200,bid,yes,yes,KXPGATOP10-RBH26-SSCH,58b81b51-3b70-5dfc-adfb-6a0dc5138903,0.6800,RBC Heritage: Will Scottie Scheffler finish top 10?
111.00,2026-04-13T21:13:41.246232Z,0.3200,bid,yes,yes,KXPGATOP10-RBH26-SSCH,d5d2b2c5-bea8-5aa3-a00a-9d12168f21dc,0.6800,RBC Heritage: Will Scottie Scheffler finish top 10?
908.00,2026-04-13T21:18:15.640552Z,0.9000,bid,yes,yes,KXPGATOP10-RBH26-BCAM,f3f55502-c492-6fcf-1595-63eb878e615a,0.1000,RBC Heritage: Will Brian Campbell finish top 10?
25.00,2026-04-13T21:20:17.980268Z,0.8100,bid,yes,yes,KXPGATOP10-RBH26-BHAR,3d448a5f-30e6-443b-da2b-8d0bde8673fb,0.1900,RBC Heritage: Will Brian Harman finish top 10?
25.00,2026-04-13T21:20:48.388772Z,0.7900,bid,yes,yes,KXPGATOP10-RBH26-SSTR,8147726e-5801-49b8-bae4-2a0e5cc350f1,0.2100,RBC Heritage: Will Sepp Straka finish top 10?
25.00,2026-04-13T21:23:01.411948Z,0.7900,bid,yes,yes,KXPGATOP10-RBH26-JTHO,b47705ae-5861-5f7f-6066-472c70b64412,0.2100,RBC Heritage: Will Justin Thomas finish top 10?
434.00,2026-04-13T21:23:04.479313Z,0.7900,bid,yes,yes,KXPGATOP10-RBH26-JTHO,66c556f5-b289-5627-d77b-3e160fe72832,0.2100,RBC Heritage: Will Justin Thomas finish top 10?
25.00,2026-04-13T21:23:29.535821Z,0.8100,bid,yes,yes,KXPGATOP10-RBH26-JPOS,e1680ecf-65f8-4d5e-0c54-49e792b9aa56,0.1900,RBC Heritage: Will J.T. Poston finish top 10?
25.00,2026-04-13T21:24:11.625234Z,0.6500,bid,yes,yes,KXPGATOP10-RBH26-PCAN,b674773c-7e68-5d8a-a541-c17bbf3a1ad1,0.3500,RBC Heritage: Will Patrick Cantlay finish top 10?
25.00,2026-04-13T21:25:04.100491Z,0.8100,bid,yes,yes,KXPGATOP10-RBH26-STHE,9420f2a1-cf85-5f57-f12b-7813f5a69273,0.1900,RBC Heritage: Will Sahith Theegala finish top 10?
23.00,2026-04-13T21:25:32.117123Z,0.8000,bid,yes,yes,KXPGATOP10-RBH26-CCON,df8b5b95-c7dd-4452-a770-c15c2283cda0,0.2000,RBC Heritage: Will Corey Conners finish top 10?
25.00,2026-04-13T21:28:08.250975Z,0.5900,bid,yes,yes,KXPGATOP10-RBH26-CAME,bf065e90-7687-5184-936b-48f28e0c7e93,0.4100,RBC Heritage: Will Cameron Young finish top 10?
24.00,2026-04-13T21:28:30.081612Z,0.7700,bid,yes,yes,KXPGATOP10-RBH26-JSPI,13ac8d80-c1a7-4504-6a50-5cd248e42921,0.2300,RBC Heritage: Will Jordan Spieth finish top 10?
55.00,2026-04-13T21:33:32.121128Z,0.5700,bid,yes,yes,KXPGATOP10-RBH26-TFLE,602d38ca-4555-5754-4e5a-b4acc7345acf,0.4300,RBC Heritage: Will Tommy Fleetwood finish top 10?
8.00,2026-04-13T21:34:46.022145Z,0.6500,bid,yes,yes,KXPGATOP10-RBH26-PCAN,f25bcb5a-e9a0-772e-41cb-b0765a84e6b5,0.3500,RBC Heritage: Will Patrick Cantlay finish top 10?
75.00,2026-04-13T21:38:08.652598Z,0.6900,bid,yes,yes,KXPGATOP10-RBH26-JKNA,f1e0a605-a0da-7355-1868-9204e883da4e,0.3100,RBC Heritage: Will Jake Knapp finish top 10?
50.00,2026-04-13T21:38:36.483656Z,0.7900,bid,yes,yes,KXPGATOP10-RBH26-JTHO,02d8e5d6-ebd5-4c1f-fa03-3646314fb3e2,0.2100,RBC Heritage: Will Justin Thomas finish top 10?
2.00,2026-04-13T21:47:36.592809Z,0.3300,bid,yes,yes,KXPGATOP10-RBH26-SSCH,2e4e5054-4208-5956-55f1-fd026d312bbc,0.6700,RBC Heritage: Will Scottie Scheffler finish top 10?
2.00,2026-04-13T21:47:45.740764Z,0.5800,bid,yes,yes,KXPGATOP10-RBH26-TFLE,54495e6e-e8f1-436b-caed-1bce9fc3a449,0.4200,RBC Heritage: Will Tommy Fleetwood finish top 10?
2.00,2026-04-13T21:47:54.415005Z,0.5900,bid,yes,yes,KXPGATOP10-RBH26-CAME,a1d4fc44-6faf-49e4-b603-cd1ad4ba222f,0.4100,RBC Heritage: Will Cameron Young finish top 10?
4.00,2026-04-13T21:48:18.214402Z,0.7700,bid,yes,yes,KXPGATOP10-RBH26-JSPI,98525ab7-2e8b-5908-9710-bb0f07c9473d,0.2300,RBC Heritage: Will Jordan Spieth finish top 10?
4.00,2026-04-13T21:48:29.552929Z,0.7900,bid,yes,yes,KXPGATOP10-RBH26-JTHO,2bd40fb8-6975-7d07-b81c-218e13a2460e,0.2100,RBC Heritage: Will Justin Thomas finish top 10?
3.00,2026-04-13T21:48:44.683773Z,0.7000,bid,yes,yes,KXPGATOP10-RBH26-JKNA,01289e4f-5f45-51be-b0ea-afe11974b6eb,0.3000,RBC Heritage: Will Jake Knapp finish top 10?
8.00,2026-04-13T21:52:11.606422Z,0.7700,bid,yes,yes,KXPGATOP10-RBH26-JSPI,3957c6e3-adaf-5b40-e8ba-d8649d45aeb5,0.2300,RBC Heritage: Will Jordan Spieth finish top 10?
25.00,2026-04-13T21:53:54.06148Z,0.6000,ask,no,no,KXPGATOP10-RBH26-MFIT,ac46da36-d4d0-7950-68e7-80c486106ee1,0.4000,RBC Heritage: Will Matt Fitzpatrick finish top 10?
91.00,2026-04-13T21:54:03.997961Z,0.8900,ask,no,no,KXPGATOP10-RBH26-MMCC,90198820-5b5b-552b-84df-22c71486c990,0.1100,RBC Heritage: Will Matthew McCarty finish top 10?
40.00,2026-04-13T21:58:40.295081Z,0.7700,bid,yes,yes,KXPGATOP10-RBH26-JSPI,febcd6cd-fbc9-78d0-4635-09608fefd8ee,0.2300,RBC Heritage: Will Jordan Spieth finish top 10?
114.00,2026-04-13T21:58:40.295081Z,0.7700,bid,yes,yes,KXPGATOP10-RBH26-JSPI,f6c7458c-b70f-7e40-7348-b5af8d0ed829,0.2300,RBC Heritage: Will Jordan Spieth finish top 10?
90.00,2026-04-13T21:58:40.295081Z,0.7800,bid,yes,yes,KXPGATOP10-RBH26-JSPI,eac42498-1e14-765e-471d-28ab54c118ad,0.2200,RBC Heritage: Will Jordan Spieth finish top 10?
116.00,2026-04-13T21:58:40.295081Z,0.7400,bid,yes,yes,KXPGATOP10-RBH26-JSPI,04ddaab1-289b-795e-51de-4801f06c146f,0.2600,RBC Heritage: Will Jordan Spieth finish top 10?
100.00,2026-04-13T21:59:09.355624Z,0.8100,bid,yes,yes,KXPGATOP10-RBH26-SSTR,29820925-b153-5af2-fe28-58aa66d83be3,0.1900,RBC Heritage: Will Sepp Straka finish top 10?
349.00,2026-04-13T21:59:09.355624Z,0.7900,bid,yes,yes,KXPGATOP10-RBH26-SSTR,d0b74855-bcb9-53c4-c261-ef861a7443b9,0.2100,RBC Heritage: Will Sepp Straka finish top 10?
113.00,2026-04-13T21:59:09.355624Z,0.7700,bid,yes,yes,KXPGATOP10-RBH26-SSTR,c1c70e75-805f-5d96-c836-d35979711127,0.2300,RBC Heritage: Will Sepp Straka finish top 10?
11.00,2026-04-13T22:02:04.533633Z,0.4000,ask,no,no,KXPGATOP10-RBH26-SSCH,e22a7bba-dfa0-4a14-e8b3-78cdcba5bbeb,0.6000,RBC Heritage: Will Scottie Scheffler finish top 10?
31.00,2026-04-13T22:02:04.533633Z,0.3900,ask,no,no,KXPGATOP10-RBH26-SSCH,ff460dca-1ba6-4b33-c168-58aff8bce798,0.6100,RBC Heritage: Will Scottie Scheffler finish top 10?
100.00,2026-04-13T22:06:50.955976Z,0.8100,bid,yes,yes,KXPGATOP10-RBH26-JBRI,11e23045-3ff7-5192-4f3b-d70fa5581263,0.1900,RBC Heritage: Will Jacob Bridgeman finish top 10?
2.00,2026-04-13T22:07:13.772446Z,0.3300,bid,yes,yes,KXPGATOP10-RBH26-SSCH,44aea21f-417c-4072-0335-3e6d7d444314,0.6700,RBC Heritage: Will Scottie Scheffler finish top 10?
81.00,2026-04-13T22:07:15.840261Z,0.8500,bid,yes,yes,KXPGATOP10-RBH26-STHE,2aa5f02c-1148-6508-9479-ec4a1a6341f0,0.1500,RBC Heritage: Will Sahith Theegala finish top 10?
11.00,2026-04-13T22:07:15.840261Z,0.8500,bid,yes,yes,KXPGATOP10-RBH26-STHE,2cd87902-1164-6176-949f-3135af85408b,0.1500,RBC Heritage: Will Sahith Theegala finish top 10?
138.00,2026-04-13T22:07:42.276918Z,0.8400,bid,yes,yes,KXPGATOP10-RBH26-STHE,af47fbc8-557d-6927-d655-45f2086ac1ef,0.1600,RBC Heritage: Will Sahith Theegala finish top 10?
100.00,2026-04-13T22:08:43.108234Z,0.8200,bid,yes,yes,KXPGATOP10-RBH26-JSPA,1ee963c9-c100-6c70-8375-e903d4315d16,0.1800,RBC Heritage: Will J.J. Spaun finish top 10?
5.00,2026-04-13T22:09:26.322052Z,0.8200,bid,yes,yes,KXPGATOP10-RBH26-ABHA,342a63d6-30dd-45cc-dc3d-7bbe52428919,0.1800,RBC Heritage: Will Akshay Bhatia finish top 10?
120.00,2026-04-13T22:09:26.322052Z,0.8200,bid,yes,yes,KXPGATOP10-RBH26-ABHA,039fe944-faca-42de-e999-0aaa3c2e3baa,0.1800,RBC Heritage: Will Akshay Bhatia finish top 10?
58.00,2026-04-13T22:09:44.753675Z,0.9200,bid,yes,yes,KXPGATOP10-RBH26-BCAU,a06b93bf-f3e3-60d4-32a3-f3090dc83130,0.0800,RBC Heritage: Will Bud Cauley finish top 10?
14.00,2026-04-13T22:09:59.099616Z,0.8600,bid,yes,yes,KXPGATOP10-RBH26-SYEL,a4e9e098-e556-70a6-4dae-916daf0b1b68,0.1400,RBC Heritage: Will Sudarshan Yellamaraju finish top 10?
19.00,2026-04-13T22:12:27.605955Z,0.7600,bid,yes,yes,KXPGATOP10-RBH26-JBRI,0c409e32-ee46-4dc0-c8fa-d7ebb8e339a0,0.2400,RBC Heritage: Will Jacob Bridgeman finish top 10?
36.00,2026-04-13T22:12:49.78971Z,0.8700,bid,yes,yes,KXPGATOP10-RBH26-DBER,f8ed25b4-8742-5b37-d40b-2f49cea5bfc6,0.1300,RBC Heritage: Will Daniel Berger finish top 10?
100.00,2026-04-13T22:15:32.134365Z,0.8500,bid,yes,yes,KXPGATOP10-RBH26-RGER,1bba6c23-f2ba-6336-1039-d8c0df2f1ccd,0.1500,RBC Heritage: Will Ryan Gerard finish top 10?
121.00,2026-04-13T22:15:32.134365Z,0.8500,bid,yes,yes,KXPGATOP10-RBH26-RGER,de13ffe6-133b-631b-0d91-2e580d951ef2,0.1500,RBC Heritage: Will Ryan Gerard finish top 10?
36.00,2026-04-13T22:16:00.813455Z,0.3300,bid,yes,yes,KXPGATOP10-RBH26-SSCH,6c6ec79f-550c-57a6-2763-27c52380f42c,0.6700,RBC Heritage: Will Scottie Scheffler finish top 10?
100.00,2026-04-13T22:17:11.867569Z,0.7600,bid,yes,yes,KXPGATOP10-RBH26-RMAC,218a5f3c-2604-7d3d-0e09-2fb910d57ff9,0.2400,RBC Heritage: Will Robert MacIntyre finish top 10?
10.00,2026-04-13T22:17:34.199805Z,0.7800,ask,no,no,KXPGATOP10-RBH26-RMAC,a6d13e8e-7337-7bb3-e752-c919340ad72e,0.2200,RBC Heritage: Will Robert MacIntyre finish top 10?
50.00,2026-04-13T22:22:22.088371Z,0.6200,bid,yes,yes,KXPGATOP10-RBH26-RHEN,49129499-81ec-4493-0910-f1294768896b,0.3800,RBC Heritage: Will Russell Henley finish top 10?
50.00,2026-04-13T22:24:01.223566Z,0.6200,bid,yes,yes,KXPGATOP10-RBH26-RHEN,fa2da231-6fc8-660b-1258-d109c59bd8e3,0.3800,RBC Heritage: Will Russell Henley finish top 10?
11.00,2026-04-13T22:24:01.223566Z,0.5700,bid,yes,yes,KXPGATOP10-RBH26-RHEN,96f6ce24-7780-6e4f-118c-0c464cbef974,0.4300,RBC Heritage: Will Russell Henley finish top 10?
8.00,2026-04-13T22:26:01.078651Z,0.5700,bid,yes,yes,KXPGATOP10-RBH26-RHEN,10ba4a58-ec00-4c2b-8c48-f2da850e06dc,0.4300,RBC Heritage: Will Russell Henley finish top 10?
10.00,2026-04-13T22:29:22.00138Z,0.6400,bid,yes,yes,KXPGATOP10-RBH26-CAME,d7623539-b9b3-41c4-c73f-479d0704aaee,0.3600,RBC Heritage: Will Cameron Young finish top 10?
42.00,2026-04-13T22:29:22.00138Z,0.6400,bid,yes,yes,KXPGATOP10-RBH26-CAME,ed4b657d-addc-4c76-ff27-8d0a4655ef11,0.3600,RBC Heritage: Will Cameron Young finish top 10?
54.00,2026-04-13T22:30:20.769091Z,0.8200,bid,yes,yes,KXPGATOP10-RBH26-HHAL,6e9989d0-89de-5486-e1f0-f0d3ee619c7c,0.1800,RBC Heritage: Will Harry Hall finish top 10?
100.00,2026-04-13T22:30:20.769091Z,0.8900,bid,yes,yes,KXPGATOP10-RBH26-HHAL,bb75a132-4d67-59e8-cbe4-8ca9f96fad3c,0.1100,RBC Heritage: Will Harry Hall finish top 10?
102.00,2026-04-13T22:31:15.57099Z,0.8500,bid,yes,yes,KXPGATOP10-RBH26-STHE,62502381-a170-7840-d521-d41433895a10,0.1500,RBC Heritage: Will Sahith Theegala finish top 10?
398.00,2026-04-13T22:31:28.769524Z,0.8400,bid,yes,yes,KXPGATOP10-RBH26-STHE,81285c6b-c659-7ac3-cb60-2efff04b6ecb,0.1600,RBC Heritage: Will Sahith Theegala finish top 10?
26.00,2026-04-13T22:32:32.284485Z,0.6400,bid,yes,yes,KXPGATOP10-RBH26-CAME,dcb2f3a5-ebd4-71e6-777e-47dadc23c7ed,0.3600,RBC Heritage: Will Cameron Young finish top 10?
2000.00,2026-04-13T22:37:51.550453Z,0.6400,bid,yes,yes,KXPGATOP10-RBH26-CAME,960d7083-08a4-7dbe-e08c-5be213ea9b09,0.3600,RBC Heritage: Will Cameron Young finish top 10?
