count_fp,created_time,no_price_dollars,taker_book_side,taker_outcome_side,taker_side,ticker,trade_id,yes_price_dollars,title
93.58,2026-04-27T00:00:10.790055Z,0.9800,bid,yes,yes,KXPGATOUR-CAC26-KBRA,9f693b98-4bb6-7bd1-be1b-d6ddb255ff39,0.0200,Will Keegan Bradley win the Cadillac Championship?
56.20,2026-04-27T00:00:36.463055Z,0.9500,bid,yes,yes,KXPGATOUR-CAC26-CMOR,ba42ab9f-a0fe-4874-3f8f-4ff536cb9d99,0.0500,Will Collin Morikawa win the Cadillac Championship?
28.77,2026-04-27T00:00:42.751921Z,0.9020,bid,yes,yes,KXPGATOUR-CAC26-CAME,bd11d194-d0f2-7271-6668-329aa2705695,0.0980,Will Cameron Young win the Cadillac Championship?
65.68,2026-04-27T00:01:16.311841Z,0.7100,bid,yes,yes,KXPGATOUR-CAC26-SSCH,311f1a32-53ca-50ff-e6e3-ba4197da7f6f,0.2900,Will Scottie Scheffler win the Cadillac Championship?
19.18,2026-04-27T00:02:15.654392Z,0.9020,bid,yes,yes,KXPGATOUR-CAC26-CAME,c711cf13-e506-4ca5-2e8b-9ca95ec0c22d,0.0980,Will Cameron Young win the Cadillac Championship?
233.95,2026-04-27T00:02:23.982837Z,0.9800,bid,yes,yes,KXPGATOUR-CAC26-KBRA,e0ca3066-ed2a-4e8d-18aa-c2a83538cce5,0.0200,Will Keegan Bradley win the Cadillac Championship?
18.60,2026-04-27T00:02:26.671209Z,0.9500,bid,yes,yes,KXPGATOUR-CAC26-CMOR,e80a8df3-26b6-6770-6918-b8159897d895,0.0500,Will Collin Morikawa win the Cadillac Championship?
60.00,2026-04-27T00:05:50.148184Z,0.7200,bid,yes,yes,KXPGATOUR-CAC26-SSCH,3705ce7e-1883-6944-15ce-4c8fa3dac85e,0.2800,Will Scottie Scheffler win the Cadillac Championship?
1.00,2026-04-27T00:10:27.932294Z,0.9800,bid,yes,yes,KXPGATOUR-CAC26-NHOJ,1f5c3690-3086-4aef-32b2-93bed31b8bd4,0.0200,Will Nicolai Hojgaard win the Cadillac Championship?
9.50,2026-04-27T00:13:35.859642Z,0.9020,bid,yes,yes,KXPGATOUR-CAC26-CAME,e602746a-2f7e-5695-7fe1-2d2683a4df4d,0.0980,Will Cameron Young win the Cadillac Championship?
2.00,2026-04-27T00:13:49.935252Z,0.9910,bid,yes,yes,KXPGATOUR-CAC26-APUT,2827ff8e-ea35-6e98-90da-a8967bc7da97,0.0090,Will Andrew Putnam win the Cadillac Championship?
