count_fp,created_time,no_price_dollars,taker_book_side,taker_outcome_side,taker_side,ticker,trade_id,yes_price_dollars,title
2696.00,2026-04-13T00:00:08.761396Z,0.9670,bid,yes,yes,KXPGATOUR-RBH26-RHEN,82d6bf5e-18cd-6494-d6fe-01c3c305963d,0.0330,Will Russell Henley win the RBC Heritage?
10.00,2026-04-13T00:00:10.63848Z,0.9810,bid,yes,yes,KXPGATOUR-RBH26-JSPI,e5e06851-6c44-7da0-5e4e-91a121909f20,0.0190,Will Jordan Spieth win the RBC Heritage?
233.00,2026-04-13T00:00:12.127575Z,0.9800,bid,yes,yes,KXPGATOUR-RBH26-WKIM,3afdb64d-b664-60be-e560-9568829395f8,0.0200,Will Si Woo Kim win the RBC Heritage?
407.00,2026-04-13T00:01:01.838106Z,0.9540,bid,yes,yes,KXPGATOUR-RBH26-XSCH,f92c1368-f61b-402d-160d-e9191b759054,0.0460,Will Xander Schauffele win the RBC Heritage?
100.00,2026-04-13T00:01:02.380724Z,0.9870,bid,yes,yes,KXPGATOUR-RBH26-JKNA,fae1f7a6-3c73-45ea-153f-69b73005be10,0.0130,Will Jake Knapp win the RBC Heritage?
340.00,2026-04-13T00:01:32.520941Z,0.9670,bid,yes,yes,KXPGATOUR-RBH26-LABE,ecdd8576-f194-4afe-9865-4f1ed76d010e,0.0330,Will Ludvig Aberg win the RBC Heritage?
1169.00,2026-04-13T00:01:34.895985Z,0.9800,bid,yes,yes,KXPGATOUR-RBH26-WKIM,e026a86c-e910-5116-fb9b-c9ceaba60218,0.0200,Will Si Woo Kim win the RBC Heritage?
102.00,2026-04-13T00:01:40.997689Z,0.9890,bid,yes,yes,KXPGATOUR-RBH26-NHOJ,e694fc37-c998-427f-e5f2-dd143da3eb9b,0.0110,Will Nicolai Hojgaard win the RBC Heritage?
246.00,2026-04-13T00:01:44.490026Z,0.9810,bid,yes,yes,KXPGATOUR-RBH26-JTHO,d17ba597-6ef3-42bc-8c97-dee5f7cdfdc9,0.0190,Will Justin Thomas win the RBC Heritage?
467.00,2026-04-13T00:01:46.238152Z,0.9900,bid,yes,yes,KXPGATOUR-RBH26-BHAR,15cb1e28-e8c2-7e87-e00e-ba672bc565ce,0.0100,Will Brian Harman win the RBC Heritage?
390.00,2026-04-13T00:02:05.273561Z,0.9760,bid,yes,yes,KXPGATOUR-RBH26-RMAC,6a066ce9-33c0-5d79-e922-a9aebd2d7b8b,0.0240,Will Robert MacIntyre win the RBC Heritage?
