count_fp,created_time,no_price_dollars,taker_book_side,taker_outcome_side,taker_side,ticker,trade_id,yes_price_dollars,title
102.00,2026-05-04T00:00:00.168424Z,0.9780,bid,yes,yes,KXPGATOUR-TRC26-MLEE,7845b0bc-199e-593a-d132-c015434f6442,0.0220,Will Min Woo Lee win the Truist Championship?
297.37,2026-05-04T00:00:16.620027Z,0.9780,bid,yes,yes,KXPGATOUR-TRC26-MLEE,38423bec-3fca-5e96-a4ec-6336a86f4676,0.0220,Will Min Woo Lee win the Truist Championship?
102.80,2026-05-04T00:01:26.25361Z,0.9830,bid,yes,yes,KXPGATOUR-TRC26-ANOR,9cae8f19-8430-6287-26e9-b14a8046adc9,0.0170,Will Alex Noren win the Truist Championship?
1771.35,2026-05-04T00:01:34.626066Z,0.9020,bid,yes,yes,KXPGATOUR-TRC26-MFIT,048bea5e-873b-4f2f-505f-06886322e363,0.0980,Will Matt Fitzpatrick win the Truist Championship?
31.00,2026-05-04T00:01:34.626066Z,0.9030,bid,yes,yes,KXPGATOUR-TRC26-MFIT,51914a35-5cba-46d1-4b5d-af814694e950,0.0970,Will Matt Fitzpatrick win the Truist Championship?
1.60,2026-05-04T00:01:34.626066Z,0.9030,bid,yes,yes,KXPGATOUR-TRC26-MFIT,715e0c45-d822-43c2-7063-f4a50b55d2bf,0.0970,Will Matt Fitzpatrick win the Truist Championship?
32.00,2026-05-04T00:01:34.626066Z,0.9100,bid,yes,yes,KXPGATOUR-TRC26-MFIT,fcd818f8-8b30-4333-746a-60b418f9b23a,0.0900,Will Matt Fitzpatrick win the Truist Championship?
300.61,2026-05-04T00:01:44.143106Z,0.9720,bid,yes,yes,KXPGATOUR-TRC26-VHOV,65c1354a-ad0b-7871-8656-85ff56e03d87,0.0280,Will Viktor Hovland win the Truist Championship?
102.85,2026-05-04T00:01:50.600424Z,0.9930,bid,yes,yes,KXPGATOUR-TRC26-RHIS,c055dd64-6f71-525d-ffa3-945ca190b369,0.0070,Will Ryo Hisatsune win the Truist Championship?
800.00,2026-05-04T00:03:01.879914Z,0.8300,ask,no,no,KXPGATOUR-TRC26-RMCI,6a32103a-223a-497e-acf3-e29c05969782,0.1700,Will Rory McIlroy win the Truist Championship?
